Level_1,Level_2,Level_3
a person buy something to do something,a person go to buy another thing for something,John went to buy a new collar for his dog
a person buy something to do something,a person buy another thing for something,Alice buys it a fun toy
a person buy something to do something,a person buy another thing for something,Tim buys a new ball for his dog
a person buy something to do something,a person buy another thing for something,Tom bought a new football
a person buy something to do something,a person buy another thing for something,I buy my cat a different type of food
a person buy something to do something,a person buy another person something to aid in the use of another thing,Jim buys his son a book about pooping.
a person buy something from another person,another person buy something from a person,Trudy buys a puli
a person buy something from another person,another person buy something from a person,I buy my work shoes from him
a person buy something from another person,a person buy something from another person,People buy clothes from Dan
a person buy something for another person,a person buy something for another person,she bought a doll for her daughter
a person buy something for another person,a person buy another person something,I buy sweatpants with the coupon
a person buy something for another person,a person buy something for a person,he bought a toy box for his kids
a person buy something for another person,a person buy something for a person,His parents bought them for him
a person buy something for another person,a person buy something for a person,he buys a collar for his cat
a person buy something for another person,a person buy something for a person,Louisa buys a puppy for her kids
a person buy something for another person,another person buy different type of something for a person,I buy two kinds of meat for his fajitas
a person buy something for another person,another person buy a person another thing that can be buy with something,The man bought me the chocolate bar
a person buy something for another person,a person buy another person something that another person already have,Billy's father buys Billy another set of blocks
a person buy something for another person,a person buy something that another person want for another person,Marcy's boyfriend buys her a pizza
a person buy something for another person,a person buy something that another person want for another person,Jane buys him a new tv
a person buy something for another person,a person get something that another person want for another person,Laura gets a cat for her mom
a person buy something for another person,a person buy something that another person like for another person,Sarah bought four boxes of cereal for her daughter
a person buy something for another person,a person buy something that another person like for another person,Paul buys a gift for Cindy
a person buy something for another person,a person buy another thing tangible for another person,The man buys a gift for his girlfriend
a person buy something for another person,a person buy a gift for another person,I bought my girlfriend chocolates for Valentine's Day.
a person buy something for another person,a person buy another thing for a person,Zeke buys a new ball for his dog
a person buy something for another person,a person buy a person something,Noah's parents bought him a car
a person buy something for another person,a person buy another person another thing,Mike buys his wife a dog
a person bring another person to a place to buy something,another person take a person to a place where something can be purchase,His mom takes him to the store
a person bring another person to a place to buy something,a person take another person to a store to buy something,His mom took him to the store to buy one
a person buy something another person want,a person buy something that another person desire,Alex's family bought a puppy
a person buy something another person want,a person buy another thing that a person want,Sarah buys the shirt she wants
a person buy something another person want,another person buy a person something that a person want,Jessica's mom buys Jessica the dress
a person buy something another person want,a person buy something that a person want,Jerald buys the sedan
a person buy a different thing,a person buy a different something,Gloria bought a different doll
a person buy a different thing,a person buy another thing which cost something,Joe buys some Easter Eggs
a person buy a different thing,a person end up buy something,we ended up buying another vcr
a person buy a different thing,a person end up buy something,He ended up buying a nice notebook
a person buy a different thing,a person go another place and buy something,Sally went to the store and bought a bike
a person buy a different thing,a person buy another thing that go in something,She bought the ingredients for tuna salad
a person buy a different thing,a person buy another thing that hold something,Jim bought some guns
a person see another person,another person see a person,The woman saw him
a person see another person,another person see a person,Jane sees the squirrel
a person see another person,another person see a person,His friend Rob sees him
a person see another person,another person see a person,A bunch of kids saw Jose
a person see another person,another person see a person,Mel sees his son
a person see another person,another person see a person,The rabbit saw Pandy
a person see another person,another person see a person,The doctor saw Oliver
a person see another person,a person see another person,George saw his teacher
a person see another person,a person see another person,Joel saw Brandon
a person see another person,a person see another person,her friend sees a handsome man
a person see another person,a person see another person,Kate sees Jake
a person see another person,a person see another person,The man sees John
a person see another person,a person see another person,Jason sees Jennifer
a person see another person,a person see another person,He sees his friend
